Repo,Submodule,LOC,Dependencies
apache__commons-vfs,C:\Users\tyin363\Documents\repos\apache__commons-vfs\commons-vfs2-hdfs,1550,144
apache__commons-vfs,C:\Users\tyin363\Documents\repos\apache__commons-vfs\commons-vfs2-jackrabbit1,2084,117
apache__commons-vfs,C:\Users\tyin363\Documents\repos\apache__commons-vfs\commons-vfs2-jackrabbit2,2768,116
apache__commons-vfs,C:\Users\tyin363\Documents\repos\apache__commons-vfs\commons-vfs2-sandbox,1942,113
apache__curator,C:\Users\tyin363\Documents\repos\apache__curator\curator-client,4699,50
apache__curator,C:\Users\tyin363\Documents\repos\apache__curator\curator-examples,2319,48
apache__curator,C:\Users\tyin363\Documents\repos\apache__curator\curator-framework,23705,51
apache__curator,C:\Users\tyin363\Documents\repos\apache__curator\curator-recipes,26949,50
apache__curator,C:\Users\tyin363\Documents\repos\apache__curator\curator-test,2703,48
apache__curator,C:\Users\tyin363\Documents\repos\apache__curator\curator-x-async,12686,48
apache__curator,C:\Users\tyin363\Documents\repos\apache__curator\curator-x-discovery,4849,49
apache__curator,C:\Users\tyin363\Documents\repos\apache__curator\curator-x-discovery-server,2017,62
apache__flink-kubernetes-operator,C:\Users\tyin363\Documents\repos\apache__flink-kubernetes-operator\examples\autoscaling,223,96
apache__flink-kubernetes-operator,C:\Users\tyin363\Documents\repos\apache__flink-kubernetes-operator\examples\flink-sql-runner-example,104,95
apache__flink-kubernetes-operator,C:\Users\tyin363\Documents\repos\apache__flink-kubernetes-operator\examples\kubernetes-client-examples,68,90
apache__flink-kubernetes-operator,C:\Users\tyin363\Documents\repos\apache__flink-kubernetes-operator\flink-autoscaler,15194,99
apache__flink-kubernetes-operator,C:\Users\tyin363\Documents\repos\apache__flink-kubernetes-operator\flink-autoscaler-plugin-jdbc,3084,146
apache__flink-kubernetes-operator,C:\Users\tyin363\Documents\repos\apache__flink-kubernetes-operator\flink-autoscaler-standalone,2194,103
apache__flink-kubernetes-operator,C:\Users\tyin363\Documents\repos\apache__flink-kubernetes-operator\flink-kubernetes-docs,1603,95
apache__flink-kubernetes-operator,C:\Users\tyin363\Documents\repos\apache__flink-kubernetes-operator\flink-kubernetes-operator,46076,114
apache__flink-kubernetes-operator,C:\Users\tyin363\Documents\repos\apache__flink-kubernetes-operator\flink-kubernetes-operator-api,3702,103
