submodule,normalised_direct_deps,normalised_transitive_deps
apache__incubator-kie-optaplanner_integration-test,0,0
apache__incubator-kie-optaplanner_optaplanner-constraint-drl,0,0
apache__incubator-kie-optaplanner_optaplanner-constraint-streams-common,0,0
apache__incubator-kie-optaplanner_optaplanner-constraint-streams-drools,0,0
apache__incubator-kie-optaplanner_optaplanner-persistence-common,0,0
apache__incubator-kie-optaplanner_optaplanner-persistence-jackson,0.0,0
apache__incubator-kie-optaplanner_optaplanner-persistence-jaxb,0.0,0
apache__incubator-kie-optaplanner_optaplanner-persistence-jpa,0,0
apache__incubator-kie-optaplanner_optaplanner-persistence-jsonb,0.0,0
apache__incubator-kie-optaplanner_optaplanner-persistence-xstream,0.0,0
apache__incubator-kie-optaplanner_optaplanner-spring-boot-autoconfigure,0,0.0
apache__incubator-kie-optaplanner_optaplanner-test,0.0,0
apache__incubator-kie-optaplanner_reflection-integration-test,0,0.0
apache__incubator-kie-optaplanner_runtime,0.0,0
apache__jackrabbit_base,0.0,0.0
apache__jackrabbit_jackrabbit-aws-ext,0.0,0.0
apache__jackrabbit_jackrabbit-data,0.0,0.0
apache__jackrabbit_jackrabbit-jca,0.0,0.0
apache__jackrabbit_jackrabbit-jcr-client,0.0,0
apache__jackrabbit_jackrabbit-jcr-servlet,0.0,0
apache__jackrabbit_jackrabbit-jcr2dav,0.0,0
apache__jackrabbit_jackrabbit-spi,0.0,0
apache__jackrabbit_jackrabbit-spi2dav,0.0,0.0
apache__jackrabbit_jackrabbit-spi2jcr,0.0,0
apache__jackrabbit_jackrabbit-standalone-components,0.0,0.0
apache__jackrabbit_jackrabbit-vfs-ext,0.0,0.0
apache__jackrabbit_jackrabbit-webapp,0.0,0.0
apache__mina-sshd_sshd-benchmarks,0.0,0
apache__mina-sshd_sshd-cli,0.0,0
apache__mina-sshd_sshd-contrib,0.0,0
apache__mina-sshd_sshd-git,0.0,0.0
apache__mina-sshd_sshd-ldap,0,0
apache__mina-sshd_sshd-mina,0.0,0
apache__mina-sshd_sshd-netty,0.0,0.0
apache__mina-sshd_sshd-openpgp,0.0,0
apache__mina-sshd_sshd-putty,0.0,0
apache__mina-sshd_sshd-scp,0.0,0
apache__mina-sshd_sshd-spring-sftp,0.0,0.0
apache__openmeetings_openmeetings-core,0.0028169014084507044,0.0
apache__openmeetings_openmeetings-install,0.0,0.0
apache__openmeetings_openmeetings-mediaserver,0.0,0.0
apache__openmeetings_openmeetings-screenshare,0,0.0
apache__openmeetings_openmeetings-tests,0,0
apache__openmeetings_openmeetings-util,0.0,0.0
apache__openmeetings_openmeetings-webservice,0.0,0.0
apache__opennlp_opennlp-api,0.0,0
apache__opennlp_opennlp-cli,0.0,0
apache__opennlp_opennlp-dl,0.0,0
apache__opennlp_opennlp-ml-bayes,0.0,0
apache__opennlp_opennlp-ml-commons,0.0,0
apache__opennlp_opennlp-ml-maxent,0.0,0
apache__opennlp_opennlp-ml-perceptron,0.0,0
apache__opennlp_opennlp-models,0.0,0
apache__opennlp_opennlp-morfologik,0.0,0
apache__opennlp_opennlp-tools,0.0,0
apache__opennlp_opennlp-uima,0.0,0
apache__pdfbox_benchmark,0.0,0.0
apache__pdfbox_io,0.0,0
apache__pdfbox_tools,0.0,0
apache__ratis_ratis-client,0.0,0
apache__ratis_ratis-examples,0.0,0.0
apache__ratis_ratis-experiments,0.0,0
apache__ratis_ratis-grpc,0.0,0.0
apache__ratis_ratis-metrics-api,0.0,0
apache__ratis_ratis-metrics-default,0.0,0.0
apache__ratis_ratis-metrics-dropwizard3,0.0,0
apache__ratis_ratis-netty,0.0,0.0
apache__ratis_ratis-server-api,0.0,0
apache__ratis_ratis-shell,0.0,0.0
apache__ratis_ratis-tools,0.0,0.0
apache__rocketmq-dashboard_apache__rocketmq-dashboard,0.020942408376963352,0.0
apache__shardingsphere-elasticjob_api,0.0,0
apache__shardingsphere-elasticjob_boot-starter,0.0,0.0
apache__shardingsphere-elasticjob_bootstrap,0.0,0
apache__shardingsphere-elasticjob_core,0.0,0.0
apache__shardingsphere-elasticjob_dataflow,0.0,0
apache__shardingsphere-elasticjob_dingtalk,0.0,0
apache__shardingsphere-elasticjob_elasticjob-example-embed-zk,0.0,0
apache__shardingsphere-elasticjob_elasticjob-example-java,0.0,0
apache__shardingsphere-elasticjob_elasticjob-example-jobs,0.0,0
apache__shardingsphere-elasticjob_elasticjob-example-spring,0.0,0
apache__shardingsphere-elasticjob_elasticjob-example-springboot,0,0.0
apache__shardingsphere-elasticjob_email,0.0,0
apache__shardingsphere-elasticjob_http,0.0,0
apache__shardingsphere-elasticjob_kernel,0.0,0
apache__shardingsphere-elasticjob_lifecycle,0.0,0
apache__shardingsphere-elasticjob_namespace,0.0,0.0
apache__shardingsphere-elasticjob_normal,0,0
apache__shardingsphere-elasticjob_rdb,0.0,0
apache__shardingsphere-elasticjob_restful,0.0,0.4
apache__shardingsphere-elasticjob_script,0.0,0
apache__shardingsphere-elasticjob_simple,0.0,0
apache__shardingsphere-elasticjob_util,0,0
apache__shardingsphere-elasticjob_wechat,0.0,0
apache__shardingsphere-elasticjob_zookeeper-curator,0.0,0
apache__stormcrawler_ai,0.0,0.0
apache__stormcrawler_aws,0.0,0.0
apache__stormcrawler_langid,0.0,0.0
apache__stormcrawler_opensearch,0.0,0.0
apache__stormcrawler_playwright,0.0,0.0
apache__stormcrawler_solr,0.0,0.0
apache__stormcrawler_sql,0.0,0.0
apache__stormcrawler_tika,0,0.0
apache__stormcrawler_urlfrontier,0.0,0.0
apache__stormcrawler_warc,0.0,0.0
apache__xmlgraphics-batik_batik-codec,0.0,0
apache__xmlgraphics-batik_batik-constants,0,0
apache__xmlgraphics-batik_batik-ext,0,0
apache__xmlgraphics-batik_batik-extension,0.0,0
apache__xmlgraphics-batik_batik-gui-util,0,0
apache__xmlgraphics-batik_batik-i18n,0,0
apache__xmlgraphics-batik_batik-parser,0.0,0
apache__xmlgraphics-batik_batik-script,0.0,0
apache__xmlgraphics-batik_batik-slideshow,0.0,0
apache__xmlgraphics-batik_batik-svg-dom,0.0,0
apache__xmlgraphics-batik_batik-svgpp,0,0
apache__xmlgraphics-batik_batik-svgrasterizer,0,0
apache__xmlgraphics-batik_batik-swing,0.0,0
apache__xmlgraphics-batik_batik-test,0,0
apache__xmlgraphics-batik_batik-test-svg,0,0
apache__xmlgraphics-batik_batik-test-swing,0,0
apache__xmlgraphics-batik_batik-transcoder,0.0,0
apache__xmlgraphics-batik_batik-ttf2svg,0,0
apache__xmlgraphics-batik_batik-util,0,0
apache__xmlgraphics-batik_batik-xml,0,0
apereo__java-cas-client_cas-client-core,0.0,0.0
apereo__java-cas-client_cas-client-support-distributed-ehcache,0.0,0
apereo__java-cas-client_cas-client-support-distributed-memcached,0.0,0
apereo__java-cas-client_cas-client-support-saml,0.0,0
apereo__java-cas-client_cas-client-support-springboot,0.0,0.0
apolloconfig__apollo_apollo-adminservice,0.0,0.0
apolloconfig__apollo_apollo-assembly,0,0.0
apolloconfig__apollo_apollo-audit-annotation,0,0
apolloconfig__apollo_apollo-audit-api,0.0,0
apolloconfig__apollo_apollo-audit-impl,0.0,0.0
