project,submodule,total_unique_dependencies,omitted_conflict_count,omitted_conflict_percentage,version_managed_count,version_managed_percentage
apache__hertzbeat,hertzbeat-plugin,52,0,0.0,4,7.69
apache__hertzbeat,hertzbeat-push,79,0,0.0,5,6.33
apache__hertzbeat,hertzbeat-remoting,83,0,0.0,4,4.82
apache__hertzbeat,hertzbeat-warehouse,161,0,0.0,22,13.66
apache__hertzbeat,hertzbeat-template-hub,131,0,0.0,16,12.21
apache__incubator-baremaps,baremaps-testing,42,0,0.0,0,0.0
apache__incubator-hugegraph,hugegraph-clustertest-minicluster,8,0,0.0,0,0.0
apache__incubator-hugegraph,hugegraph-common,50,0,0.0,0,0.0
apache__incubator-hugegraph,hugegraph-rpc,77,0,0.0,0,0.0
apache__incubator-hugegraph,hg-pd-client,34,0,0.0,0,0.0
apache__incubator-hugegraph,hg-pd-common,25,0,0.0,0,0.0
apache__incubator-hugegraph,hg-pd-core,48,0,0.0,0,0.0
apache__incubator-hugegraph,hg-pd-service,138,0,0.0,0,0.0
apache__incubator-hugegraph,hg-pd-test,180,0,0.0,0,0.0
apache__incubator-hugegraph,hugegraph-api,257,0,0.0,0,0.0
apache__incubator-hugegraph,hugegraph-cassandra,226,0,0.0,0,0.0
apache__incubator-hugegraph,hugegraph-core,183,0,0.0,0,0.0
apache__incubator-hugegraph,hugegraph-dist,314,0,0.0,0,0.0
apache__incubator-hugegraph,hugegraph-example,315,0,0.0,0,0.0
apache__incubator-hugegraph,hugegraph-hbase,187,0,0.0,0,0.0
apache__incubator-hugegraph,hugegraph-hstore,185,0,0.0,0,0.0
apache__incubator-hugegraph,hugegraph-mysql,184,0,0.0,0,0.0
apache__incubator-hugegraph,hugegraph-palo,184,0,0.0,0,0.0
apache__incubator-hugegraph,hugegraph-postgresql,185,0,0.0,0,0.0
apache__incubator-hugegraph,hugegraph-rocksdb,184,0,0.0,0,0.0
apache__incubator-hugegraph,hugegraph-scylladb,227,0,0.0,0,0.0
apache__incubator-hugegraph,hugegraph-test,322,0,0.0,0,0.0
apache__incubator-hugegraph,hg-store-cli,47,0,0.0,0,0.0
apache__incubator-hugegraph,hg-store-client,41,0,0.0,0,0.0
apache__incubator-hugegraph,hg-store-common,0,0,0,0,0
apache__incubator-hugegraph,hg-store-core,191,0,0.0,0,0.0
apache__incubator-hugegraph,hg-store-node,270,0,0.0,0,0.0
apache__incubator-hugegraph,hg-store-rocksdb,50,0,0.0,0,0.0
apache__incubator-hugegraph,hg-store-test,285,0,0.0,0,0.0
apache__incubator-kie-optaplanner-quickstarts,quickstarts-showcase,215,0,0.0,38,17.67
apache__incubator-kie-optaplanner-quickstarts,hello-world,66,2,3.03,1,1.52
apache__incubator-kie-optaplanner-quickstarts,client,250,0,0.0,35,14.0
apache__incubator-kie-optaplanner-quickstarts,common,215,0,0.0,16,7.44
apache__incubator-kie-optaplanner-quickstarts,solver,274,3,1.09,38,13.87
apache__incubator-kie-optaplanner-quickstarts,java-spring-boot,167,0,0.0,20,11.98
apache__incubator-kie-optaplanner-quickstarts,demo-app,286,0,0.0,37,12.94
apache__incubator-kie-optaplanner-quickstarts,school-timetabling,316,0,0.0,51,16.14
apache__incubator-kie-optaplanner-quickstarts,call-center,259,0,0.0,37,14.29
apache__incubator-kie-optaplanner-quickstarts,employee-scheduling,309,0,0.0,37,11.97
apache__incubator-kie-optaplanner-quickstarts,facility-location,257,0,0.0,35,13.62
apache__incubator-kie-optaplanner-quickstarts,maintenance-scheduling,309,0,0.0,37,11.97
apache__incubator-kie-optaplanner-quickstarts,order-picking,256,0,0.0,36,14.06
apache__incubator-kie-optaplanner-quickstarts,vaccination-scheduling,268,0,0.0,38,14.18
apache__incubator-kie-optaplanner-quickstarts,vehicle-routing,270,0,0.0,40,14.81
apache__incubator-kie-optaplanner,optaplanner-constraint-drl,64,0,0.0,3,4.69
apache__incubator-kie-optaplanner,optaplanner-constraint-streams-bavet,33,0,0.0,1,3.03
apache__incubator-kie-optaplanner,optaplanner-constraint-streams-common,32,0,0.0,1,3.12
apache__incubator-kie-optaplanner,optaplanner-constraint-streams-drools,67,0,0.0,3,4.48
apache__incubator-kie-optaplanner,optaplanner-core-impl,38,0,0.0,3,7.89
apache__incubator-kie-optaplanner,optaplanner-benchmark,78,0,0.0,3,3.85
apache__incubator-kie-optaplanner,optaplanner-examples,92,0,0.0,5,5.43
apache__incubator-kie-optaplanner,optaplanner-operator,281,0,0.0,57,20.28
apache__incubator-kie-optaplanner,optaplanner-persistence-common,16,0,0.0,0,0.0
apache__incubator-kie-optaplanner,optaplanner-persistence-jackson,30,0,0.0,1,3.33
apache__incubator-kie-optaplanner,optaplanner-persistence-jaxb,28,0,0.0,1,3.57
