Repo Name,Repo Size (KB),Has Commit 30,Has Commit 60,Has Commit 90,Has Commit 180,Has Commit 365
wasabeef/richeditor-android,2898,False,False,False,False,False
joelittlejohn/jsonschema2pojo,12121,False,False,False,True,True
pig-mesh/pig,39009,True,True,True,True,True
koush/ion,11832,False,False,False,False,False
amitshekhariitbhu/from-java-to-kotlin,258,False,False,False,False,True
apache/hertzbeat,430628,True,True,True,True,True
micronaut-projects/micronaut-core,107510,True,True,True,True,True
lightbend/config,4635,False,False,False,False,False
ityouknow/spring-cloud-examples,76,False,False,False,False,False
haifengl/smile,256757,True,True,True,True,True
vespa-engine/vespa,459882,True,True,True,True,True
graphql-java/graphql-java,17377,True,True,True,True,True
hibernate/hibernate-orm,288356,True,True,True,True,True
ikew0ng/SwipeBackLayout,2934,False,False,False,False,False
google/grafika,1092,False,False,False,False,False
getActivity/XXPermissions,85026,True,True,True,True,True
gephi/gephi,654674,False,False,True,True,True
rengwuxian/MaterialEditText,1260,False,False,False,False,False
daimajia/NumberProgressBar,158,False,False,False,False,False
apache/flink-cdc,43077,True,True,True,True,True
auth0/java-jwt,1516,False,False,False,True,True
DerekYRC/mini-spring,1085,False,False,False,False,True
apache/incubator-kie-drools,299154,True,True,True,True,True
FongMi/TV,345515,True,True,True,True,True
singwhatiwanna/dynamic-load-apk,8956,False,False,False,False,False
pedrovgs/EffectiveAndroidUI,994,False,False,False,False,False
google/j2objc,105189,True,True,True,True,True
Vedenin/useful-java-links,2411,False,False,False,False,True
rey5137/material,3901,False,False,False,False,False
google/physical-web,33447,False,False,False,False,False
wyouflf/xUtils3,9041,False,False,False,False,False
liyifeng1994/ssm,12364,False,False,False,False,False
alipay/SoloPi,272397,False,False,False,False,True
LandGrey/SpringBootVulExploit,135,False,False,False,False,False
jetlinks/jetlinks-community,70726,True,True,True,True,True
robolectric/robolectric,63918,True,True,True,True,True
springfox/springfox,186279,False,False,False,False,False
antoniolg/androidmvp,327,False,False,False,False,False
prolificinteractive/material-calendarview,4823,False,False,False,False,False
648540858/wvp-GB28181-pro,65708,True,True,True,True,True
vavr-io/vavr,23432,True,True,True,True,True
btraceio/btrace,17759,True,True,True,True,True
MuntashirAkon/AppManager,79566,True,True,True,True,True
weibocom/motan,4596,True,True,True,True,True
traccar/traccar,23855,True,True,True,True,True
lets-blade/blade,3382,False,False,False,True,True
journeyapps/zxing-android-embedded,8388,False,False,False,False,False
apache/camel,1079624,True,True,True,True,True
nayuki/QR-Code-generator,1389,False,False,False,True,True
obsidiandynamics/kafdrop,2910,True,True,True,True,True
graphhopper/graphhopper,137924,True,True,True,True,True
google/google-java-format,2170,True,True,True,True,True
Nightonke/BoomMenu,103934,False,False,False,False,False
apache/hudi,1909953,True,True,True,True,True
javaparser/javaparser,45699,True,True,True,True,True
apache/iotdb,315778,True,True,True,True,True
changmingxie/tcc-transaction,7095,False,False,False,True,True
amitshekhariitbhu/Fast-Android-Networking,2856,False,False,False,False,True
logisim-evolution/logisim-evolution,114253,True,True,True,True,True
yarolegovich/DiscreteScrollView,33353,False,False,False,False,False
WeiYe-Jing/datax-web,43670,False,False,False,False,False
JakeWharton/DiskLruCache,416,False,False,False,False,False
opengoofy/hippo4j,23733,False,False,False,True,True
apache/pinot,330724,True,True,True,True,True
dmytrodanylyk/circular-progress-button,967,True,True,True,True,True
ffay/lanproxy,9573,False,False,False,False,False
Devlight/InfiniteCycleViewPager,279,False,False,False,False,False
ZhongFuCheng3y/austin,20073,False,False,False,True,True
Javen205/IJPay,25427,False,True,True,True,True
k0shk0sh/FastHub,19973,False,False,False,False,False
Nepxion/Discovery,236777,True,True,True,True,True
youtube/api-samples,816,False,False,False,False,False
jpush/aurora-imui,11470,False,False,False,False,False
apache/hive,737819,True,True,True,True,True
springside/springside4,4837,False,False,False,False,False
JSQLParser/JSqlParser,13325,True,True,True,True,True
yanzhenjie/SwipeRecyclerView,29347,False,False,False,False,False
JakeWharton/u2020,9385,False,False,False,False,False
crazycodeboy/react-native-splash-screen,3912,False,False,False,False,False
hanks-zyh/HTextView,9880,False,False,False,False,False
wasabeef/Blurry,2286,False,False,False,False,False
dromara/lamp-cloud,48602,True,True,True,True,True
daimajia/AndroidImageSlider,2165,False,False,False,False,False
TeamAmaze/AmazeFileManager,62277,True,True,True,True,True
jagrosh/MusicBot,7798,False,False,False,False,True
hongyangAndroid/FlowLayout,910,False,False,False,False,False
amlcurran/ShowcaseView,15237,False,False,False,False,False
redis/lettuce,24647,True,True,True,True,True
TommyLemon/Android-ZBLibrary,32789,False,False,False,True,True
ZHENFENG13/spring-boot-projects,14626,False,False,False,False,False
ElderDrivers/EdXposed,12036,False,False,False,False,False
knightliao/disconf,8619,False,False,False,False,False
nhaarman/ListViewAnimations,25513,False,False,False,False,False
jeequan/jeepay,6619,True,True,True,True,True
baidu/uid-generator,390,False,False,False,False,False
emilsjolander/StickyListHeaders,3866,False,False,False,False,False
JanusGraph/janusgraph,60799,True,True,True,True,True
wuhaoyu1990/MagicCamera,17476,False,False,False,False,False
meefik/linuxdeploy,53204,False,False,False,False,False
sockeqwe/mosby,26564,False,False,False,False,False
danikula/AndroidVideoCache,116062,False,False,False,False,False
alibaba/freeline,75385,False,False,False,False,False
scribejava/scribejava,2624,False,False,False,True,True
dm77/barcodescanner,10971,False,False,False,False,False
CeuiLiSA/Pixiv-Shaft,174957,False,True,True,True,True
KeepSafe/TapTargetView,4429,False,False,False,False,True
spring-projects/spring-ai,85158,True,True,True,True,True
facebookarchive/rebound,23623,False,False,False,False,False
motianhuo/wechat,96503,False,False,False,False,False
apache/dubbo-spring-boot-project,1557,False,False,False,False,False
Jasonchenlijian/FastBle,35234,False,False,False,False,False
socketio/socket.io-client-java,2401,False,False,False,True,True
alibaba/jetcache,3843,False,True,True,True,True
Evernote/android-job,1860,False,False,False,False,False
jgilfelt/SystemBarTint,1099,False,False,False,False,False
