library_name,projects_affected,unique_selected_versions,unique_conflicting_versions,conflict_type_breakdown,avg_selected_depth,min_selected_depth,max_selected_depth,avg_conflicting_depth,min_conflicting_depth,max_conflicting_depth,total_conflicts
org.apache.maven:maven-model-builder,1,1,1,{'version_managed': 4},5.0,5,5,5.0,5,5,4
org.apache.maven:maven-repository-metadata,1,1,1,{'version_managed': 4},5.0,5,5,5.0,5,5,4
org.apache.maven:maven-settings,1,1,1,{'version_managed': 4},5.0,5,5,5.0,5,5,4
org.apache.zookeeper:zookeeper,2,2,3,"{'version_managed': 3, 'omitted_conflict': 1}",1.75,1,2,2.0,2,2,4
com.google.auth:google-auth-library-credentials,1,1,4,{'omitted_conflict': 4},2.0,2,2,2.5,2,4,4
org.codehaus.plexus:plexus-cipher,1,1,1,{'version_managed': 4},5.0,5,5,5.0,5,5,4
redis.clients:jedis,2,2,2,"{'omitted_conflict': 2, 'version_managed': 1}",1.33,1,2,2.0,2,2,3
org.apache.calcite.avatica:avatica-core,1,1,1,{'omitted_conflict': 3},2.0,2,2,2.0,2,2,3
org.testcontainers:toxiproxy,1,1,1,{'version_managed': 3},2.0,2,2,2.0,2,2,3
org.apache.commons:commons-dbcp2,2,3,1,"{'version_managed': 2, 'omitted_conflict': 1}",4.33,1,6,4.67,2,6,3
org.thymeleaf:thymeleaf,2,2,2,{'version_managed': 3},2.0,2,2,2.0,2,2,3
org.xerial.snappy:snappy-java,1,1,3,{'version_managed': 3},2.33,2,3,2.33,2,3,3
org.json:json,2,2,3,{'omitted_conflict': 3},1.67,1,2,2.67,2,4,3
org.springframework.data:spring-data-redis,3,3,3,"{'version_managed': 2, 'omitted_conflict': 1}",2.67,2,4,2.67,2,4,3
