Library_Name,Count,Percentage
net.sourceforge.owlapi:owlapi-tools,96,0.00636668103591206
net.sourceforge.owlapi:owlapi-apibinding,96,0.00636668103591206
org.springdoc:springdoc-openapi-starter-webmvc-api,96,0.00636668103591206
org.apache.kerby:kerb-crypto,95,0.006300361441787977
org.springframework.amqp:spring-amqp,94,0.006234041847663892
com.adobe.testing:s3mock,92,0.006101402659415725
cn.herodotus.oss:dialect-sdk-aliyun,92,0.006101402659415725
org.apache.dubbo:dubbo-config-spring,92,0.006101402659415725
com.alibaba.nacos:nacos-common,92,0.006101402659415725
cn.herodotus.oss:dialect-core,92,0.006101402659415725
io.fabric8:openshift-model-machineconfiguration,91,0.00603508306529164
biz.aQute.bnd:biz.aQute.bnd.transform,90,0.0059687634711675566
us.fatehi:schemacrawler,90,0.0059687634711675566
org.apache.tinkerpop:gremlin-core,88,0.005836124282919388
io.swagger.core.v3:swagger-core-jakarta,88,0.005836124282919388
com.typesafe:ssl-config-core_2.12,87,0.0057698046887953046
org.eclipse.jetty:jetty-servlet,87,0.0057698046887953046
net.openhft:chronicle-threads,87,0.0057698046887953046
org.flowable:flowable-variable-service,86,0.005703485094671221
io.quarkus:quarkus-bootstrap-runner,86,0.005703485094671221
com.tdunning:t-digest,86,0.005703485094671221
org.springdoc:springdoc-openapi-webmvc-core,85,0.005637165500547136
io.quarkus:quarkus-bootstrap-maven-resolver,84,0.0055708459064230526
org.gridkit.lab:zerormi,84,0.0055708459064230526
org.commonmark:commonmark,84,0.0055708459064230526
org.apache.lucene:lucene-queries,84,0.0055708459064230526
org.gridkit.lab:telecontrol-ssh,84,0.0055708459064230526
com.aizuda:snail-job-server-retry-task,84,0.0055708459064230526
org.keycloak:keycloak-client-common-synced,82,0.005438206718174885
net.openhft:jlbh,82,0.005438206718174885
org.seleniumhq.selenium:selenium-http,81,0.005371887124050801
org.springframework:spring-aop,80,0.005305567529926717
xalan:xalan,80,0.005305567529926717
org.apache.lucene:lucene-spatial3d,79,0.005239247935802633
org.apache.flink:flink-scala_2.12,78,0.0051729283416785485
com.amazonaws:aws-java-sdk-kms,78,0.0051729283416785485
org.apache.calcite.avatica:avatica-core,78,0.0051729283416785485
software.amazon.awssdk:netty-nio-client,78,0.0051729283416785485
org.graalvm.polyglot:polyglot,78,0.0051729283416785485
org.apache.xmlgraphics:batik-dom,77,0.005106608747554465
org.eclipse.jetty:jetty-session,76,0.005040289153430381
org.apache.flink:flink-annotations,75,0.004973969559306297
org.springframework.integration:spring-integration-core,74,0.004907649965182213
org.graalvm.js:js,74,0.004907649965182213
org.apache.kafka:kafka-storage,72,0.004775010776934045
org.apache.jena:jena-base,72,0.004775010776934045
org.apache.ratis:ratis-proto,72,0.004775010776934045
org.apache.zookeeper:zookeeper-jute,71,0.004708691182809962
org.bytedeco:javacpp,70,0.004642371588685877
io.mockk:mockk-agent-jvm,70,0.004642371588685877
io.rest-assured:json-path,68,0.004509732400437709
org.ow2.asm:asm-util,68,0.004509732400437709
software.amazon.awssdk:apache-client,68,0.004509732400437709
io.github.classgraph:classgraph,68,0.004509732400437709
cglib:cglib,67,0.004443412806313626
org.graalvm.regex:regex,66,0.004377093212189541
cn.herodotus.oss:rest-sdk-minio,66,0.004377093212189541
com.formdev:svgSalamander,66,0.004377093212189541
io.micrometer:micrometer-observation,66,0.004377093212189541
org.apache.maven:maven-artifact,66,0.004377093212189541
org.eclipse.jgit:org.eclipse.jgit.http.apache,66,0.004377093212189541
io.micrometer:micrometer-registry-prometheus,66,0.004377093212189541
com.googlecode.javaewah:JavaEWAH,66,0.004377093212189541
org.bouncycastle:bcpkix-jdk18on,65,0.004310773618065458
io.quarkus.resteasy.reactive:resteasy-reactive,64,0.004244454023941373
org.dromara.mica-mqtt:mica-mqtt-common,64,0.004244454023941373
org.jetbrains.kotlinx:kotlinx-coroutines-jdk8,64,0.004244454023941373
org.scala-lang.modules:scala-parser-combinators_2.12,64,0.004244454023941373
org.springframework.amqp:spring-rabbit,63,0.004178134429817289
org.wildfly.security:wildfly-elytron-realm,62,0.004111814835693206
org.scala-lang.modules:scala-xml_2.12,62,0.004111814835693206
com.typesafe.scala-logging:scala-logging_2.12,60,0.003979175647445037
org.apache.camel:camel-management,60,0.003979175647445037
io.github.toolfactory:jvm-driver,60,0.003979175647445037
io.vertx:vertx-auth-oauth2,60,0.003979175647445037
org.keycloak:keycloak-admin-client,60,0.003979175647445037
org.apache.jena:jena-fuseki-core,59,0.003912856053320954
org.jline:jline-terminal-jna,59,0.003912856053320954
