Module,Has_Used_Breaking_Changes,Count
abstracta__jmeter-java-dsl_jmeter-java-dsl-datadog,No,0
abstracta__jmeter-java-dsl_jmeter-java-dsl-elasticsearch-listener,No,0
abstracta__jmeter-java-dsl_jmeter-java-dsl-graphql,No,0
abstracta__jmeter-java-dsl_jmeter-java-dsl-octoperf,No,0
abstracta__jmeter-java-dsl_jmeter-java-dsl-parallel,No,0
abstracta__jmeter-java-dsl_jmeter-java-dsl-prometheus,No,0
abstracta__jmeter-java-dsl_jmeter-java-dsl-wrapper,No,0
ageerle__ruoyi-ai_ruoyi-admin,No,0
ageerle__ruoyi-ai_ruoyi-chat,No,0
ageerle__ruoyi-ai_ruoyi-chat-api,No,0
ageerle__ruoyi-ai_ruoyi-common-core,No,0
ageerle__ruoyi-ai_ruoyi-common-doc,No,0
ageerle__ruoyi-ai_ruoyi-common-encrypt,No,0
ageerle__ruoyi-ai_ruoyi-common-excel,No,0
ageerle__ruoyi-ai_ruoyi-common-idempotent,No,0
ageerle__ruoyi-ai_ruoyi-common-json,No,0
ageerle__ruoyi-ai_ruoyi-common-log,No,0
ageerle__ruoyi-ai_ruoyi-common-mail,No,0
ageerle__ruoyi-ai_ruoyi-common-pay,No,0
ageerle__ruoyi-ai_ruoyi-common-ratelimiter,No,0
ageerle__ruoyi-ai_ruoyi-common-redis,No,0
ageerle__ruoyi-ai_ruoyi-common-security,No,0
ageerle__ruoyi-ai_ruoyi-common-sensitive,No,0
ageerle__ruoyi-ai_ruoyi-common-sms,No,0
ageerle__ruoyi-ai_ruoyi-common-tenant,No,0
ageerle__ruoyi-ai_ruoyi-common-translation,No,0
ageerle__ruoyi-ai_ruoyi-common-web,No,0
ageerle__ruoyi-ai_ruoyi-generator,No,0
ageerle__ruoyi-ai_ruoyi-knowledge-api,No,0
ageerle__ruoyi-ai_ruoyi-mcp-server,No,0
ageerle__ruoyi-ai_ruoyi-system,No,0
ageerle__ruoyi-ai_ruoyi-system-api,No,0
aikar__commands_brigadier,No,0
aikar__commands_bukkit,No,0
aikar__commands_bungee,No,0
aikar__commands_core,No,0
aikar__commands_example,No,0
aikar__commands_jda,No,0
aikar__commands_paper,No,0
aikar__commands_sponge,No,0
aikar__commands_sponge10,No,0
aikar__commands_velocity,No,0
aizuda__flowlong_flowlong-core,No,0
aizuda__flowlong_flowlong-mybatis-plus,No,0
aizuda__flowlong_flowlong-solon-example,No,0
aizuda__flowlong_flowlong-spring-boot-example,No,0
aizuda__flowlong_flowlong-spring-boot-starter,No,0
aizuda__snail-job_snail-job-client-common,No,0
aizuda__snail-job_snail-job-client-job-core,No,0
aizuda__snail-job_snail-job-client-retry-core,No,0
aizuda__snail-job_snail-job-client-starter,No,0
aizuda__snail-job_snail-job-common-core,No,0
aizuda__snail-job_snail-job-common-log,No,0
aizuda__snail-job_snail-job-common-model,No,0
aizuda__snail-job_snail-job-dm8-datasource,No,0
aizuda__snail-job_snail-job-kingbase-datasource,No,0
aizuda__snail-job_snail-job-mariadb-datasource,No,0
aizuda__snail-job_snail-job-mysql-datasource,No,0
aizuda__snail-job_snail-job-oracle-datasource,No,0
aizuda__snail-job_snail-job-postgres-datasource,No,0
aizuda__snail-job_snail-job-server-common,No,0
aizuda__snail-job_snail-job-server-job-task,No,0
aizuda__snail-job_snail-job-server-openapi,No,0
aizuda__snail-job_snail-job-server-retry-task,No,0
aizuda__snail-job_snail-job-server-service,No,0
aizuda__snail-job_snail-job-server-starter,No,0
aizuda__snail-job_snail-job-server-ui,No,0
aizuda__snail-job_snail-job-server-web,No,0
aizuda__snail-job_snail-job-sqlserver-datasource,No,0
alibaba__java-dns-cache-manipulator_library,No,0
alibaba__java-dns-cache-manipulator_tool,No,0
alibaba__transmittable-thread-local_sample-ttl-agent-extension-transformlet,No,0
alibaba__transmittable-thread-local_ttl-agent,No,0
alibaba__transmittable-thread-local_ttl-core,No,0
alibaba__transmittable-thread-local_ttl2-compatible,No,0
alibaba__transmittable-thread-local_vertx3-ttl-integration,No,0
alibaba__transmittable-thread-local_vertx4-ttl-integration,No,0
apache__commons-cli_apache__commons-cli,No,0
apache__commons-csv_apache__commons-csv,No,0
apache__commons-dbutils_apache__commons-dbutils,No,0
apache__commons-fileupload_commons-fileupload2-core,No,0
apache__commons-fileupload_commons-fileupload2-jakarta-servlet5,No,0
apache__commons-fileupload_commons-fileupload2-jakarta-servlet6,No,0
apache__commons-fileupload_commons-fileupload2-javax,No,0
apache__commons-fileupload_commons-fileupload2-portlet,No,0
apache__commons-vfs_commons-vfs2-ant,No,0
apache__commons-vfs_commons-vfs2-examples,No,0
apache__commons-vfs_commons-vfs2-hdfs,No,0
apache__commons-vfs_commons-vfs2-jackrabbit1,No,0
apache__commons-vfs_commons-vfs2-jackrabbit2,No,0
apache__commons-vfs_commons-vfs2-sandbox,No,0
apache__curator_curator-client,No,0
apache__curator_curator-examples,No,0
apache__curator_curator-test,No,0
apache__curator_curator-x-async,No,0
apache__curator_curator-x-discovery,No,0
apache__curator_curator-x-discovery-server,No,0
apache__flink-kubernetes-operator_autoscaling,No,0
apache__flink-kubernetes-operator_flink-autoscaler,No,0
apache__flink-kubernetes-operator_flink-autoscaler-plugin-jdbc,No,0
apache__flink-kubernetes-operator_flink-autoscaler-standalone,No,0
apache__flink-kubernetes-operator_flink-kubernetes-docs,No,0
apache__flink-kubernetes-operator_flink-kubernetes-operator-api,No,0
apache__flink-kubernetes-operator_flink-kubernetes-standalone,No,0
apache__flink-kubernetes-operator_flink-kubernetes-webhook,No,0
apache__flink-kubernetes-operator_flink-sql-runner-example,No,0
apache__flink-kubernetes-operator_kubernetes-client-examples,No,0
apache__helix_distributed-lock-manager,No,0
apache__helix_helix-agent,No,0
apache__helix_helix-common,No,0
apache__helix_helix-lock,No,0
apache__helix_meta-client,No,0
apache__helix_metadata-store-directory-common,No,0
apache__helix_metrics-common,No,0
apache__helix_rabbitmq-consumer-group,No,0
apache__helix_rsync-replicated-file-system,No,0
apache__helix_service-discovery,No,0
apache__hertzbeat_hertzbeat-base,No,0
apache__hertzbeat_hertzbeat-collector-collector,No,0
apache__hertzbeat_hertzbeat-collector-common,No,0
apache__hertzbeat_hertzbeat-collector-kafka,No,0
apache__hertzbeat_hertzbeat-collector-mongodb,No,0
apache__hertzbeat_hertzbeat-collector-nebulagraph,No,0
apache__hertzbeat_hertzbeat-collector-rocketmq,No,0
apache__hertzbeat_hertzbeat-grafana,No,0
apache__hertzbeat_hertzbeat-mcp,No,0
apache__hertzbeat_hertzbeat-otel,No,0
apache__hertzbeat_hertzbeat-plugin,No,0
apache__hertzbeat_hertzbeat-push,No,0
apache__hertzbeat_hertzbeat-template-hub,No,0
apache__incubator-kie-optaplanner_deployment,No,0
apache__incubator-kie-optaplanner_devui-integration-test,No,0
apache__incubator-kie-optaplanner_drl-integration-test,No,0
apache__incubator-kie-optaplanner_integration-test,No,0
apache__incubator-kie-optaplanner_optaplanner-constraint-drl,No,0
apache__incubator-kie-optaplanner_optaplanner-constraint-streams-common,No,0
apache__incubator-kie-optaplanner_optaplanner-constraint-streams-drools,No,0
apache__incubator-kie-optaplanner_optaplanner-persistence-common,No,0
apache__incubator-kie-optaplanner_optaplanner-persistence-jackson,No,0
