Project,Total_Breaking_Changes,Used_Breaking_Changes,Binary_Compatibility_Rate,Source_Compatibility_Rate,Transitive_Changes,Usage_Rate
TimefoldAI__timefold-quickstarts_project-job-scheduling,2152,0,0.019516728624535316,0.0,2085,0.0
TimefoldAI__timefold-quickstarts_school-timetabling,3545,0,0.013540197461212976,0.0,3478,0.0
TimefoldAI__timefold-quickstarts_sports-league-scheduling,2152,0,0.019516728624535316,0.0,2085,0.0
TimefoldAI__timefold-quickstarts_spring-boot-integration,279,0,0.06093189964157706,0.0,279,0.0
TimefoldAI__timefold-quickstarts_task-assigning,2152,0,0.019516728624535316,0.0,2085,0.0
TimefoldAI__timefold-quickstarts_tournament-scheduling,2152,0,0.019516728624535316,0.0,2085,0.0
TimefoldAI__timefold-quickstarts_vehicle-routing,2152,0,0.019516728624535316,0.0,2085,0.0
Widdit__now-playing-service_Widdit__now-playing-service,201,0,0.263681592039801,0.0,35,0.0
X1r0z__JNDIMap_X1r0z__JNDIMap,1930,4,0.08341968911917098,0.0,740,0.20725388601036268
Zerek-Cheng__Simple-Assets-Platform_Zerek-Cheng__Simple-Assets-Platform,1626,17,0.11254612546125461,0.0,1544,1.045510455104551
abstracta__jmeter-java-dsl_jmeter-java-dsl-azure,373,0,0.16621983914209115,0.0,212,0.0
abstracta__jmeter-java-dsl_jmeter-java-dsl-base-remote-engine,1748,4,0.261441647597254,0.0,1227,0.2288329519450801
abstracta__jmeter-java-dsl_jmeter-java-dsl-blazemeter,373,0,0.16621983914209115,0.0,212,0.0
abstracta__jmeter-java-dsl_jmeter-java-dsl-bridge,390,0,0.16153846153846155,0.0,212,0.0
abstracta__jmeter-java-dsl_jmeter-java-dsl-cli,1068,1,0.12734082397003746,0.0,905,0.09363295880149813
abstracta__jmeter-java-dsl_jmeter-java-dsl-dashboard,373,0,0.16621983914209115,0.0,212,0.0
abstracta__jmeter-java-dsl_jmeter-java-dsl-datadog,1388,0,0.27953890489913547,0.0,876,0.0
abstracta__jmeter-java-dsl_jmeter-java-dsl-elasticsearch-listener,638,0,0.10501567398119123,0.0,477,0.0
abstracta__jmeter-java-dsl_jmeter-java-dsl-graphql,822,0,0.21776155717761558,0.0,318,0.0
abstracta__jmeter-java-dsl_jmeter-java-dsl-jdbc,4182,1,0.05834528933524629,0.0,4013,0.023912003825920614
abstracta__jmeter-java-dsl_jmeter-java-dsl-octoperf,373,0,0.16621983914209115,0.0,212,0.0
abstracta__jmeter-java-dsl_jmeter-java-dsl-parallel,373,0,0.16621983914209115,0.0,212,0.0
abstracta__jmeter-java-dsl_jmeter-java-dsl-prometheus,373,0,0.16621983914209115,0.0,212,0.0
abstracta__jmeter-java-dsl_jmeter-java-dsl-recorder,1406,1,0.1379800853485064,0.0,888,0.07112375533428165
abstracta__jmeter-java-dsl_jmeter-java-dsl-wrapper,373,0,0.16621983914209115,0.0,212,0.0
ageerle__ruoyi-ai_ruoyi-ai-copilot,1119,5,0.058981233243967826,0.0,654,0.44682752457551383
ageerle__ruoyi-ai_ruoyi-chat,492,0,0.23170731707317074,0.0,452,0.0
ageerle__ruoyi-ai_ruoyi-chat-api,499,0,0.13627254509018036,0.0,430,0.0
ageerle__ruoyi-ai_ruoyi-common-chat,674,23,0.31305637982195844,0.0,674,3.4124629080118694
ageerle__ruoyi-ai_ruoyi-common-core,991,0,0.07769929364278506,0.0,880,0.0
ageerle__ruoyi-ai_ruoyi-common-doc,676,0,0.06804733727810651,0.0,612,0.0
ageerle__ruoyi-ai_ruoyi-common-encrypt,2231,0,0.005378753922008068,0.0,21,0.0
ageerle__ruoyi-ai_ruoyi-common-excel,23,0,0.2608695652173913,0.0,23,0.0
ageerle__ruoyi-ai_ruoyi-common-idempotent,257,0,0.0622568093385214,0.0,3,0.0
